State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,16-04-2023,1866,2294,2080
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,23-04-2023,3687,4174,3930
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,30-04-2023,2115,2228,2171
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,07-05-2023,1705,2150,1927
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,14-05-2023,4197,4636,4416
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,21-05-2023,3705,4068,3886
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,28-05-2023,1439,1619,1529
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,04-06-2023,3204,3663,3433
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,11-06-2023,4660,5149,4904
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,18-06-2023,3918,4277,4097
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,25-06-2023,2890,3207,3048
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,02-07-2023,2940,3241,3090
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,09-07-2023,3664,4033,3848
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,16-07-2023,2285,2599,2442
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,23-07-2023,2664,3059,2861
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,30-07-2023,4203,4640,4421
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,06-08-2023,2130,2509,2319
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,13-08-2023,3715,4002,3858
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,20-08-2023,2071,2211,2141
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,27-08-2023,2394,2794,2594
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,03-09-2023,1608,2034,1821
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,10-09-2023,4111,4339,4225
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,17-09-2023,3362,3524,3443
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,24-09-2023,2860,3040,2950
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,01-10-2023,1753,2141,1947
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,08-10-2023,1838,2168,2003
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,15-10-2023,4305,4432,4368
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,22-10-2023,3582,4009,3795
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,29-10-2023,2396,2528,2462
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,05-11-2023,4725,4886,4805
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,12-11-2023,3243,3441,3342
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,19-11-2023,4290,4603,4446
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,26-11-2023,3218,3544,3381
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,03-12-2023,4290,4520,4405
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,10-12-2023,2445,2799,2622
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,17-12-2023,1955,2337,2146
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,24-12-2023,1798,1912,1855
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,31-12-2023,3122,3601,3361
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,07-01-2024,2862,3024,2943
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,14-01-2024,2293,2633,2463
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,21-01-2024,1858,2345,2101
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,28-01-2024,3441,3771,3606
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,04-02-2024,4138,4408,4273
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,11-02-2024,1775,1887,1831
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,18-02-2024,2709,2995,2852
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,25-02-2024,4599,4982,4790
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,03-03-2024,3994,4138,4066
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,10-03-2024,3237,3470,3353
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,17-03-2024,2022,2229,2125
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,24-03-2024,2848,3278,3063
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,31-03-2024,3210,3540,3375
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,07-04-2024,3661,4145,3903
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,14-04-2024,2882,3102,2992
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,21-04-2024,4335,4667,4501
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,28-04-2024,2840,3137,2988
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,05-05-2024,3089,3325,3207
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,12-05-2024,1681,2005,1843
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,19-05-2024,2628,2879,2753
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,26-05-2024,3512,3985,3748
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,02-06-2024,3302,3634,3468
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,09-06-2024,2653,2804,2728
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,16-06-2024,2785,3270,3027
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,23-06-2024,4770,4970,4870
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,30-06-2024,4279,4565,4422
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,07-07-2024,3361,3590,3475
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,14-07-2024,3520,3962,3741
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,21-07-2024,3183,3667,3425
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,28-07-2024,4799,5028,4913
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,04-08-2024,2447,2764,2605
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,11-08-2024,3092,3438,3265
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,18-08-2024,2473,2775,2624
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,25-08-2024,4577,4931,4754
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,01-09-2024,1772,2196,1984
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,08-09-2024,4228,4525,4376
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,15-09-2024,4623,4962,4792
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,22-09-2024,3487,3787,3637
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,29-09-2024,2533,2958,2745
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,06-10-2024,4059,4417,4238
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,13-10-2024,2110,2555,2332
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,20-10-2024,3332,3579,3455
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,27-10-2024,4309,4716,4512
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,03-11-2024,2104,2331,2217
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,10-11-2024,4135,4594,4364
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,17-11-2024,2106,2356,2231
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,24-11-2024,3115,3512,3313
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,01-12-2024,3096,3447,3271
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,08-12-2024,3736,3947,3841
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,15-12-2024,2715,2874,2794
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,22-12-2024,2081,2565,2323
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,29-12-2024,2780,3019,2899
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,05-01-2025,1688,1947,1817
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,12-01-2025,4270,4602,4436
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,19-01-2025,4516,4919,4717
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,26-01-2025,3585,3836,3710
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,02-02-2025,3420,3680,3550
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,09-02-2025,1901,2113,2007
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,16-02-2025,3064,3267,3165
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,23-02-2025,1679,1890,1784
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,02-03-2025,4229,4427,4328
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,09-03-2025,3748,4231,3989
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,16-03-2025,2414,2707,2560
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,23-03-2025,4231,4538,4384
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,30-03-2025,2324,2584,2454
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,06-04-2025,3091,3588,3339
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,13-04-2025,2803,3286,3044
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,20-04-2025,2749,3043,2896
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,27-04-2025,1727,1859,1793
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,04-05-2025,4394,4864,4629
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,11-05-2025,2043,2164,2103
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,18-05-2025,4154,4291,4222
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,25-05-2025,3841,3991,3916
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,01-06-2025,3948,4330,4139
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,08-06-2025,3499,3875,3687
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,15-06-2025,2093,2476,2284
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,22-06-2025,4573,4989,4781
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Paddy,Local,FAQ,29-06-2025,2161,2264,2212
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,01-01-2023,1937,2085,2011
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,08-01-2023,1387,1706,1546
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,15-01-2023,3881,4026,3953
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,22-01-2023,4649,4847,4748
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,29-01-2023,3004,3383,3193
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,05-02-2023,5116,5517,5316
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,12-02-2023,1474,1672,1573
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,19-02-2023,2379,2594,2486
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,26-02-2023,1642,1902,1772
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,05-03-2023,4849,5076,4962
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,12-03-2023,3545,3867,3706
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,19-03-2023,3870,4292,4081
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,26-03-2023,3268,3647,3457
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,02-04-2023,2112,2553,2332
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,09-04-2023,3335,3561,3448
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,16-04-2023,1843,2328,2085
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,23-04-2023,2087,2579,2333
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,30-04-2023,1620,1758,1689
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,07-05-2023,2869,3215,3042
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,14-05-2023,2091,2496,2293
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,21-05-2023,2527,2639,2583
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,28-05-2023,4465,4877,4671
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,04-06-2023,1407,1526,1466
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,11-06-2023,3831,4330,4080
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,18-06-2023,4360,4830,4595
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,25-06-2023,3860,4051,3955
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,02-07-2023,4946,5333,5139
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,09-07-2023,4420,4861,4640
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,16-07-2023,1402,1687,1544
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,23-07-2023,1963,2187,2075
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,30-07-2023,3710,3867,3788
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,06-08-2023,4917,5196,5056
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,13-08-2023,2206,2576,2391
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,20-08-2023,2767,2967,2867
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,27-08-2023,4503,4655,4579
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,03-09-2023,3286,3493,3389
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,10-09-2023,1306,1601,1453
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,17-09-2023,2337,2808,2572
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,24-09-2023,4667,5121,4894
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,01-10-2023,4493,4900,4696
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,08-10-2023,4171,4640,4405
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,15-10-2023,1940,2197,2068
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,22-10-2023,3026,3245,3135
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,29-10-2023,2304,2495,2399
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,05-11-2023,2719,3164,2941
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,12-11-2023,2413,2629,2521
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,19-11-2023,3331,3557,3444
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,26-11-2023,5059,5287,5173
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,03-12-2023,2402,2502,2452
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,10-12-2023,4144,4369,4256
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,17-12-2023,2388,2576,2482
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,24-12-2023,1923,2395,2159
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,31-12-2023,2367,2655,2511
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,07-01-2024,2349,2517,2433
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,14-01-2024,4385,4731,4558
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,21-01-2024,4500,4743,4621
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,28-01-2024,2281,2565,2423
Andhra Pradesh,Alluri Sitarama Raju,Alluri Sitarama Raju Mandi,Maize,Local,FAQ,04-02-2024,5017,5336,5176
